n_trials,min_range_pct,extreme_proximity_pct,stop_buffer_pct,tp_fraction,time_stop_hours,n_trades,win_rate,pf,sharpe,max_dd,cagr,avg_trade_pct,median_trade_pct,gross_return,n_wins,n_losses
1500,0.025,0.2,0.015,0.5,4,133,0.41353383458646614,0.559159904733456,-1.6882363472346413,0.4577051610500277,-0.1883435822992292,-0.003760383659403467,-0.00467517546859814,-0.5001310267006611,55,78
1500,0.025,0.2,0.015,0.5,6,133,0.38345864661654133,0.5754444775626891,-1.6904145288515906,0.5093236965383151,-0.2096604264244617,-0.004222532905440082,-0.005471970257916271,-0.5615968764235308,51,82
1500,0.025,0.2,0.0075,0.7,4,133,0.3458646616541353,0.5514690560388958,-1.7070872209326777,0.5203368586455703,-0.19843172414343846,-0.003982422256793396,-0.007131596469123276,-0.5296621601535216,46,87
1500,0.02,0.15,0.0075,0.5,8,114,0.3684210526315789,0.5491361467941784,-1.7079429574002942,0.4490050226173947,-0.17323278933888642,-0.004072051634284366,-0.007666875930913407,-0.4642138863084177,42,72
1500,0.025,0.15,0.0075,0.4,6,88,0.4090909090909091,0.5160137083251249,-1.7123812039417188,0.3773371699959401,-0.14708741834618677,-0.004371086072153309,-0.008788102560734997,-0.3846555743494912,36,52
1500,0.015,0.15,0.0075,0.7,8,132,0.3181818181818182,0.5521014229936643,-1.7147647874057559,0.5382975374343801,-0.20735733253995858,-0.004307583105722414,-0.011577020535723546,-0.5686009699553586,42,90
1500,0.02,0.15,0.01,0.5,4,114,0.41228070175438597,0.5271945338048339,-1.7342653232455103,0.4401625452666479,-0.1687830809080748,-0.003963761633653393,-0.005025265970871237,-0.45186882623648683,47,67
1500,0.01,0.15,0.015,0.7,6,155,0.3548387096774194,0.5579300091391305,-1.7469427003228055,0.5928583087054212,-0.22956475467120863,-0.00410444503900051,-0.005034833097336763,-0.6361889810450791,55,100
1500,0.025,0.2,0.0075,0.7,8,133,0.2932330827067669,0.5601926536160062,-1.7472961352191418,0.5852972936561182,-0.23511651868620798,-0.004800363811409351,-0.014462989485991468,-0.6384483869174438,39,94
1500,0.02,0.15,0.01,0.4,6,114,0.4824561403508772,0.521782946298676,-1.759217566904002,0.4135569400692223,-0.16148833639427718,-0.0037839664905551166,-0.0019409485211523453,-0.4313721799232833,55,59
1500,0.025,0.2,0.005,0.7,8,133,0.2706766917293233,0.5580170407644118,-1.7644140004337692,0.5627759667495184,-0.22748113454262398,-0.00463286285718267,-0.013485041655559804,-0.6161707600052951,36,97
1500,0.01,0.15,0.015,0.7,8,155,0.36129032258064514,0.5498711330825521,-1.7705831873881566,0.6025563437271453,-0.23553898600451517,-0.0042263345843048025,-0.005357729514589753,-0.6550818605672444,56,99
1500,0.02,0.15,0.0075,0.5,4,114,0.39473684210526316,0.5260579436934737,-1.7719477413027054,0.4287003990602573,-0.16514961088669522,-0.003877529389154944,-0.006509262727826937,-0.4420383503636636,45,69
1500,0.015,0.15,0.015,0.6,8,132,0.3712121212121212,0.5348298480542042,-1.7764470186971226,0.5615432351694499,-0.21798339944091738,-0.004558289949743595,-0.005375401996923162,-0.6016942733661544,49,83
1500,0.015,0.15,0.015,0.6,6,132,0.3712121212121212,0.5389128804744847,-1.7784534382676178,0.5505515910888196,-0.21452777123736477,-0.00447991094564207,-0.005253401677626517,-0.5913482448247532,49,83
